127.0.0.1 - - [04/Jul/2016:08:17:12 -0400] "GET /app/uploads/2016/01/app-web-images_31.jpg HTTP/1.1" 200 176814 "http://prod.abc.co/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:47.0) Gecko/20100101 Firefox/47.0"
127.0.0.1 - - [04/Jul/2016:08:17:12 -0400] "GET /app/uploads/2016/01/app-do-you-need-urgent-help-350.png HTTP/1.1" 200 8115 "http://prod.abc.co/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:47.0) Gecko/20100101 Firefox/47.0"
127.0.0.1 - - [04/Jul/2016:08:17:13 -0400] "GET /app/uploads/2016/01/app-do-you-need-advice-350.png HTTP/1.1" 200 8492 "http://prod.abc.co/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:47.0) Gecko/20100101 Firefox/47.0"
127.0.0.1 - - [04/Jul/2016:08:17:13 -0400] "GET /app/uploads/2016/01/app-web-images_22.jpg HTTP/1.1" 200 232836 "http://prod.abc.co/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:47.0) Gecko/20100101 Firefox/47.0"
212.83.162.138 - - [04/Jul/2016:10:30:23 -0400] "HEAD /robots.txt HTTP/1.0" 200 0 "-" "-"
46.37.83.158 - - [04/Jul/2016:11:17:46 -0400] "GET / HTTP/1.1" 301 5 "-" "curl/7.17.1 (mips-unknown-linux-gnu) libcurl/7.17.1 OpenSSL/0.9.8i zlib/1.2.3"
46.37.83.158 - - [04/Jul/2016:11:17:47 -0400] "GET / HTTP/1.1" 200 28715 "-" "curl/7.17.1 (mips-unknown-linux-gnu) libcurl/7.17.1 OpenSSL/0.9.8i zlib/1.2.3"
122.167.239.107 - - [04/Jul/2016:13:42:08 -0400] "GET / HTTP/1.1" 200 9205 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0"
122.167.239.107 - - [04/Jul/2016:13:42:09 -0400] "GET /wp/wp-includes/js/jquery/jquery.js?ver=1.12.4 HTTP/1.1" 304 0 "http://prod.abc.co/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0"
122.167.239.107 - - [04/Jul/2016:13:42:09 -0400] "GET /app/plugins/gravityforms/css/formsmain.min.css?ver=2.0.1 HTTP/1.1" 304 0 "http://prod.abc.co/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0"
122.167.239.107 - - [04/Jul/2016:13:42:09 -0400] "GET /app/plugins/gravityforms/css/browsers.min.css?ver=2.0.1 HTTP/1.1" 304 0 "http://prod.abc.co/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0"
122.167.239.107 - - [04/Jul/2016:13:42:09 -0400] "GET /wp/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1 HTTP/1.1" 304 0 "http://prod.abc.co/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0"
122.167.239.107 - - [04/Jul/2016:13:42:09 -0400] "GET /app/plugins/gravityforms/css/formreset.min.css?ver=2.0.1 HTTP/1.1" 304 0 "http://prod.abc.co/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0"
